movieId,title,genres,pred_rating
246,Hoop Dreams (1994),Documentary,5.0
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,5.0
898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,5.0
904,Rear Window (1954),Mystery|Thriller,5.0
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,5.0
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance,5.0
4226,Memento (2000),Mystery|Thriller,5.0
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,5.0
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,5.0
57669,In Bruges (2008),Comedy|Crime|Drama|Thriller,5.0
